Epoch120 Loss: 102.98150181248398, New Best Found!!
Epoch121 Loss: 102.02633839273444, New Best Found!!
Epoch122 Loss: 101.08574632358751, New Best Found!!
Epoch123 Loss: 100.159405422463, New Best Found!!
Epoch124 Loss: 99.2470037310417, New Best Found!!
Epoch125 Loss: 98.34823726908365, New Best Found!!
Epoch126 Loss: 97.4628096439073, New Best Found!!
Epoch127 Loss: 96.59043152875117, New Best Found!!
Epoch128 Loss: 95.73082003249186, New Best Found!!
Epoch129 Loss: 94.88369799053585, New Best Found!!
Epoch130 Loss: 94.04879321194588, New Best Found!!
